"Leishmaniasis-mucocutaneous","na"
"Trypanosomiasis-American","The human disease occurs in two stages: an acute stage, which occurs shortly after an initial infection, and a chronic stage that develops over many years.The acute phase lasts for the first few weeks or months of infection. It usually occurs unnoticed because it is symptom-free or exhibits only mild symptoms that are not unique to Chagas disease. These can include fever, fatigue, body aches, headache, rash, loss of appetite, diarrhea, and vomiting. The signs on physical examination can include mild enlargement of the liver or spleen, swollen glands, and local swelling (a chagoma) where the parasite entered the body.The most recognized marker of acute Chagas disease is called Romaña's sign, which includes swelling of the eyelids on the side of the face near the bite wound or where the bug feces were deposited or accidentally rubbed into the eye. Rarely, young children, or adults may die from the acute disease due to severe inflammation/infection of the heart muscle (myocarditis) or brain (meningoencephalitis). The acute phase also can be severe in people with weakened immune systems.If symptoms develop during the acute phase, they usually resolve spontaneously within three to eight weeks in approximately 90% of individuals. Although the symptoms resolve, even with treatment the infection persists and enters a chronic phase. Of individuals with chronic Chagas disease, 60–80% will never develop symptoms (called indeterminate chronic Chagas disease), while the remaining 20–40% will develop life-threatening heart and/or digestive disorders during their lifetime (called determinate chronic Chagas disease). In 10% of individuals, the disease progresses directly from the acute form to a symptomatic clinical form of chronic Chagas disease.The symptomatic (determinate) chronic stage affects the nervous system, digestive system and heart. About two-thirds of people with chronic symptoms have cardiac damage, including dilated cardiomyopathy, which causes heart rhythm abnormalities and may result in sudden death. About one-third of patients go on to develop digestive system damage, resulting in dilation of the digestive tract (megacolon and megaesophagus), accompanied by severe weight loss. Swallowing difficulties (secondary achalasia) may be the first symptom of digestive disturbances and may lead to malnutrition.20% to 50% of individuals with intestinal involvement also exhibit cardiac involvement. Up to 10% of chronically infected individuals develop neuritis that results in altered tendon reflexes and sensory impairment. Isolated cases exhibit central nervous system involvement, including dementia, confusion, chronic encephalopathy and sensory and motor deficits.The clinical manifestations of Chagas disease are due to cell death in the target tissues that occurs during the infective cycle, by sequentially inducing an inflammatory response, cellular lesions, and fibrosis. For example, intracellular amastigotes destroy the intramural neurons of the autonomic nervous system in the intestine and heart, leading to megaintestine and heart aneurysms, respectively. If left untreated, Chagas disease can be fatal, in most cases due to heart muscle damage."
"Omsk Hemorrhagic Fever","There are a number of symptoms of the virus. In the first 1–8 days the first phase begins. The symptoms in this phase are:chillsheadachepain in the lower and upper extremities and severe prostrationa rash on the soft palateswollen glands in the neckappearance of blood in the eyes (conjunctiva suffusion)dehydrationhypotensiongastrointestinal symptoms (symptoms relating to the stomach and intestines)patients may also experience effects on the central nervous systemIn 1–2 weeks, some patients may recover, although others might not. They might experience a focal hemorrhage in mucosa of gingival, uterus, and lungs, a papulovesicular rash on the soft palate, cervical lymph adenopathy (it occurs in the neck which that enlarges the lymph glandular tissue), and occasional neurological involvement. If the patient still has OHF after 3 weeks, then a second wave of symptoms will occur. It also includes signs of encephalitis. If they recover from OHF they may experience hearing loss, hair loss, and behavioral or psychological difficulties associated with neurological conditions. If the sickness does not fade away, the patient will die."
"Dermatophytosis","Infections on the body may give rise to typical enlarging raised red rings of ringworm, infection on the skin of the feet may cause athlete's foot and in the groin jock itch. Involvement of the nails is termed onychomycosis, and they may thicken, discolour, and finally crumble and fall off.They are common in most adult people, with up to 20 percent of the population having one of these infections at any given moment.Dermatophytosis tends to get worse during summer, with symptoms alleviating during the winter. Animals such as dogs and cats can also be affected by ringworm and the disease can be transmitted between animals and humans (zoonotic disease)."
"Bartontellosis -cat borne","Manifestations of cat scratch disease can be divided into classic and atypical.Classic cat scratch disease presents as tender and swollen regional lymph nodes, a condition referred to as regional lymphadenopathy. There may be a papule at the site of initial infection. While some patients have fever and other systemic symptoms, many do not. Other associated complaints include headache, chills, backache and abdominal pain. It may take 7 to 14 days, or as long as two months, before symptoms appear. Most cases are benign and self-limiting, but lymphadenopathy may persist for several months after other symptoms disappear. In general, the prognosis is favorable. In temperate climates, most cases occur in autumn and winter. The disease usually resolves spontaneously, with or without treatment, in one month. In immunocompromised patients more severe complications sometimes occur.Atypical cat scratch disease takes several different forms depending on organ systems involved. Atypical forms of disease are becoming increasingly recognized in clinical practice.Parinaud's oculoglandular syndrome is a granulomatous conjunctivitis with concurrent swelling of the lymph node near the ear.Optic neuritis, involvement of the retina, and neuropathy can also occur.Bacillary angiomatosis is caused by Bartonella henselae, the causative organism of cat scratch disease. It is primarily a vascular skin lesion that may extend to bone or be present in other areas of the body. In the typical scenario, the patient has HIV or another cause of severe immune dysfunction.Bacillary peliosis is a condition that most-often affects patients with HIV and other conditions causing severe immune compromise. The liver and spleen are primarily affected, with findings of blood-filled cystic spaces on pathologyAcute encephalopathy (generalized dysfunction of the brain) can occur. The New York Times Magazine described a case, presenting as a meningitis, with fever, headache, and impaired vision (due to swelling of the optic nerves). Despite the severity of initial presentation, patient outcome can be favorable.Enlarged spleen and sore throat can also occur in rare cases. Sclerotic bone lesions can also occur."
"Kingella Infection","na"
"Echinococcosis-American polycystic","na"
"Hymenolepis diminuta infection","H. diminuta is often asymptomatic. However, abdominal pain, irritability, itching, and eosinophilia are among the existing symptoms in a few of the reported cases."
"Schistosomiasis-intercalctum","Symptoms of all forms of schistosomiasis are caused by the immune system's reaction to the eggs, rather than the adult worms themselves. A few hours to days after cercariae invade the skin, some people experience pruritus and raised papules at the site of penetration. This is called cercarial dermatitis, also known as swimmer's itch. It can last up to a few weeks, although, this stage is usually asymptomatic in local populations.S. intercalatum is associated with lower morbidity than the other schistosomes that infect humans. In a study done on schoolchildren in the Republic of São Tomé and Principe in western Africa–where S. intercalatum and S. haematobium are endemic–the only schistosome present in the sample was S. intercalatum, an overall prevalence of 10.9% in stool specimens.Unlike the more pathogenic species, infection with S. intercalatum is usually only associated with bloody stool, and sometimes splenomegaly. Blood in the stool is caused by  inflammation, hypertrophy, and ulceration of the mucosa  of the intestine. These signs can be difficult to interpret because effected populations are often infected with multiple intestinal parasites. Clinical presentation of an established S. intercalatum infection can be different in the local population and non-immune tourists. The majority of infections of foreign travelers are asymptomatic and go unnoticed. Chronic schistosomiasis results in granulomata forming around eggs in the mesenteric vessels.Diagnosis is usually made using clinical and epidemiological information. Infection with S. intercalatum can be distinguished from that of S. mansoni or S. haematobium based on where eggs manifest outside the body and the morphology of the eggs. In Africa, the only species of schistosome are S. intercalatum, S. mansoni, and S. haematobium. S. haematobium causes urinary schistosomiasis, so eggs will be shed in the urine; S. mansoni and S. intercalatum reside in the mesenteric venous plexus, so eggs will be shed in the feces. Looking at the stool specimen under a microscope, the species can be distinguished; S. intercalatum eggs have a terminal spine (as seen in the figure above) and S. mansoni eggs have a lateral spine.Serologic testing looks for the presence of antibodies against the adult schistosome in the blood. This can only take place 6 to 8 weeks after initial infection in order for the parasite to reach the adult stage and the immune system to produce antibodies against it. However, serologic testing is not useful for patients with previous infections.Praziquantel is an effective treatment against all species of Schistosoma that infect humans. Administering treatment at the correct time is important since the drug only works against the adult worm and there must be a strong antibody response from the immune system. Thus, it should be administered 6 to 8 weeks after suspected infection (contact with infested freshwater). There has been limited evidence on possible drug resistance among the schistosomes due to reports of low cure rates. Oxaminiquine is another treatment for schistosomiasis, but it is not widely available, nor is it routinely used."
"St Louis Encephalitis","The majority of infections result in mild illness, including fever and headache. When infection is more severe the person may experience headache, high fever, neck stiffness, stupor, disorientation, coma, tremors, occasional convulsions and spastic paralysis. Fatality ranges from 3–30%. Aged people are more likely to have a fatal infection."
