0,Acinetobacter baumannii gentamycin-res,Australia,1993,,,
1,Acinetobacter baumannii imipenem-res,UK,1985,,,
2,Acinetobacter baumannii polymixin-res,US,2001,,,
3,Acinetobacter baumannii multiple drug-res,Taiwan,1998,,,
4,Bacillus anthracis,Yekaterinburg,1979,,,
5,Bacillus anthracis,New Jersey,2001,,,
6,Bartonella bacilliformis,Ecuador,1987,,,
7,Bartonella bacilliformis chloramphenicol-res,Peru,1988,,,
8,Bartonella elizabethae,Massachusetts,1986,,,
9,Bartonella henselae,Oklahoma City,1987,,,
10,Bartonella quintana,Mexico City,1960,,,
11,Bartonella quintana,Poland,1949,,,
12,Bordetella pertussis,US,1982,,,
13,Borrelia burgdorferi,US,1962,,,
14,Brucella melitensis,Malta and Gozo,1995,,,
15,Burkholderia cepacia,Canada,1981,,,
16,Burkholderia pseudomallei,India,1990,,,
17,Burkholderia pseudomallei,Thailand,2003,,,
18,Burkholderia pseudomallei,Vietnam,1965,,,
19,Burkholderia pseudomallei,Taiwan,1994,,,
20,Campylobacter fetus,France,1945,,,
21,Campylobacter fetus,US,1938,,,
22,Campylobacter jejuni fluroquinolone-res,Switzerland,1986,,,
23,Campylobacter jejuni,US,1957,,,
24,Chlamydia pneumoniae Twar strain,Taiwan,1965,,,
25,Chlamydia trachomatis pandrug-res,US,1997,,,
26,Clostridium botulinum,US,1976,,,
27,Clostridium difficile,US,1973,,,
28,Clostridium difficile clindamycin-resistance,US,1989,,,
29,Corynebacterium diptheriae,Russia,1985,,,
30,Corynebacterium jeikeium,US,1970,,,
31,Corynebacterium jeikeium cipro-res,UK,1987,,,
32,Coxiella burnetii,Germany 1996,,,,
33,Coxiella burnetii,Balkans,1940,,,
34,Coxiella burnetii,Bulgaria,1990,,,
35,Ehrlichia canis,Gurdon,Arkansas,1986,,
36,Ehrlichia chaffeensis,Fort Chaffee,Arkansas,1990,,
37,Ehrlichia equi,Duluth,Minnesota,1990,,
38,Ehrlichia ewingii,Missouri,1996,,,
39,Ehrlichia phagocytophila,Duluth,Minnesota,1990,,
40,Ehrlichia sennetsu,Japan,1953,,,
41,Enterococcus faecalis gent-res,Paris,1978,,,
42,Enterococcus faecalis vanc-res,Kings College Hospital,Dulwich,London,1986,
43,Enterococcus faecium pen-res,Philadelphia,1989,,,
44,Enterococcus faecium gent-res,Children's Hospital medical Center,Boston,MA,1986,
45,Enterococcus faecium vanc-res,King's College Hospital,London,UK,1986,
46,Enterococcus faecium linezolid-res,Chicago,IL,2000,,
47,Enterococcus faecium amp-res,Boston,Massachusetts,1989,,
48,Escherichia coli O157:H7,California,1975,,,
49,Escherichia coli non-O157:H7,Italy,1992,,,
50,Escherichia coli O26:H-,Switzerland,1952,,,
51,Escherichia coli O4:H-,Georgia,1983,,,
52,Escherichia coli O45:H2,Michigan,1983,,,
53,Escherichia coli O111:H-,Virginia,1953,,,
54,Escherichia coli O145:H-,USA,1980,,,
55,Escherichia coli O4:H5,Australia,1980,,,
56,Escherichia coli O111:H2,Australia,1980,,,
57,Escherichia coli O118:H16,Germany,1990,,,
58,Escherichia coli O26:H11,Italy,1965,,,
59,Escherichia coli O104:H2,UK,1984,,,
60,Escherichia coli O153:H25,UK,1984,,,
61,Escherichia coli O163:H19,UK,1984,,,
62,Escherichia coli O5:H-,UK,1980,,,
63,Escherichia coli O55:H7,UK,1980,,,
64,Escherichia coli O103:H2,UK,1980,,,
65,Escherichia coli O145:H5,Japan,1990,,,
66,Escherichia coli O104:H21,Helena Montana,1994,,,
67,Escherichia coli O111:H8,Germany,1985,,,
68,Escherichia coli O118:H2,Japan,1996,,,
69,Escherichia coli O118:H12,Peru,1984,,,
70,Escherichia coli O118:H30,Canada,1990,,,
71,Escherichia coli O111:H-,UK,1943,,,
72,Escherichia coli O103:H2,Canada,1984,,,
73,Escherichia coli O91:H–,Germany,1995,,,
74,Haemophilus ducreyi,Europe,2002,,,
75,Haemophilus influenzae,Italy,2000,,,
76,Haemophilus influenzae biogroup aegyptius,Brazil,1984,,,
77,Haemophilus influenzae amp-res,Germany,1972,,,
78,Haemophilus influenzae amp-resistant,USA,1977,,,
79,Haemophilus influenzae chlor-res,Texas,1975,,,
80,Haemophilus influenzae chlor/tc-res,Netherlands,1975,,,
81,Haemophilus influenzae amp/cm/tmp-smz-res,Thailand,1979,,,
82,Helicobacter cinaedi,Texas,1984,,,
83,Helicobacter fennelliae,Washington State,US,1980,,
84,Klebsiella pneumoniae,Taiwan,1981,,,
85,Klebsiella pneumoniae late generation cephalosporin,Frankfurt,1983,,,
86,Legionella pneumophila,Pennsylvania,1976,,,
87,Leptospira fainei,Australia,1995,,,
88,Leptospira interrogans,Malaysia,1950,,,
89,Leptospira weilii,Malaysia,2000,,,
90,Listeria monocytogenes,Germany,1941,,,
91,Mycobacterium genavense,Switzerland,1989,,,
92,Mycobacterium gordonae,Baltimore,Maryland,1967,,
93,Mycobacterium haemophilum,Meir Hospital,Kafr Saba,Israel,1971,
94,Mycobacterium kansasii,Dallas County,Texas,1955,,
95,Mycobacterium malmoense,Malmo,Sweden,1968,,
96,Mycobacterium scrofulaceum,Montreal,1951,,,
97,Mycobacterium shimoidei,Japan,1975,,,
98,Mycobacterium simiae,Dakar,1970,,,
99,Mycobacterium szulgai,Israel,1984,,,
100,Mycobacterium tuberculosis,Miami,1981,,,
101,Mycobacterium tuberculosis isoniazid-res,South Korea,1981,,,
102,Mycobacterium tuberculosis multiple drug-res,New York,1991,,,
103,Mycobacterium xenopi,UK,London,1965,,
104,Neisseria gonorrhoeae tetracycline-res,Nashua,New Hampshire,1983,,
105,Neisseria gonorrhoeae fluoroquinolones-res,Sydney,1992,,,
106,Neisseria gonorrhoeae pen/tet/cipr-res,Kitakyushu,1999,,,
107,Neisseria gonorrhoeae penicillin-res,London,1956,,,
108,Treponema pallidum,Moldova; Russia; Kazakhstan; Ukraine,1989,,,
109,Vibrio parahaemolyticus,Matsubara,Osaka-fu,Japan,1950,
110,Vibrio cholerae O139,Madras,India,1992,,
111,Vibrio cholerae O1 El Tor,Celebes Island; Sulawesi,1961,,,
112,Vibrio damsela,Louisiana,1971,,,
113,Vibrio fluvialis,Dhaka,1965,,,
114,Vibrio hollisae,Maryland,1976,,,
115,Vibrio metschnikovii,Chicago,Illinois,1978,,
116,Vibrio mimicus,Louisiana,1977,,,
117,Vibrio parahaemolyticus,Maryland,1971,,,
118,Cyclospora cayetanensis,PNG,1977,,,
119,Encephalitozoon cuniculi,Geneva,1987,,,
120,Encephalitozoon hellem,Texas: New York,1990,,,
121,Encephalitozoon intestinalis,Newark,NJ,1990,,
122,Enterocytozoon bieneusi,Haiti,1985,,,
123,Puumala virus,Croatia,1995,,,
124,Rabies Virus,La Gamba,Cost Rica,2001,,
125,Ebola virus,VA,1989,,,
126,Rift Valley Fever Virus,Egypt,1977,,,
